"ltv","gender","max_cover","count_cover","count_res","av_res","visits","portal","cardtype","experiencelevel","careerfield"
1.95,"Blank",1575,2,1,3688,7,"3","Visa","Manager","Administrative Support"
4.9,"Blank",1798,1,4,6840,2,"9","Visa","Manager","Management"
1.95,"Blank",2463,3,15,1682,10,"13","Visa","Experienced","Education and Training"
1.95,"Blank",2191,1,4,4240,5,"8","Visa","Experienced","Customer Service"
38.75,"Blank",1295,1,1,4531,1,"20","Mastercard","Entry Level","Customer Service"
2.95,"Blank",3187,2,1,5014,1,"16","Mastercard","Entry Level","Nursing"
352.45,"Blank",1052,1,10,3457,13,"3","Visa","Entry Level","Customer Service"
37.9,"Blank",2193,6,1,2112,1,"3","Mastercard","Experienced","Skilled Trades"
143.75,"Blank",2198,3,4,6024,5,"3","Mastercard","Manager","Management"
95.4,"Blank",2183,25,416,1795,193,"3","Visa","Experienced","Administrative Support"
81.55,"Blank",2188,1,1,1856,1,"3","Visa","Student","Legal"
73.85,"Blank",3020,8,2,2100,2,"16","Visa","Student","Science"
5.9,"Blank",3316,2,8,906,9,"3","Visa","Experienced","Pharmacy"
2.95,"Blank",2471,1,2,1490,8,"3","Visa","Executive","Sales"
107.8,"Blank",1664,5,5,1491,4,"16","Visa","Student","Beauty and Spa"
444.9,"Blank",1328,4,7,3602,20,"3","Mastercard","Experienced","Construction"
72.85,"Blank",1977,3,5,1755,25,"3","Visa","Experienced","Accounting and Finance"
16.9,"M",2738,1,7,2318,9,"3","Visa","Manager","Law Enforcement and Security"
40.7,"Blank",1148,2,3,2295,1,"3","Visa","Experienced","Healthcare"
1.95,"Blank",1553,2,4,2018,4,"3","Mastercard","Experienced","Food and Beverage"
3.95,"Blank",3073,1,12,532,10,"3","Mastercard","Manager","Accounting and Finance"
1.95,"Blank",2180,1,11,1397,15,"3","Visa","Entry Level","Education and Training"
211.65,"Blank",2355,6,7,4910,41,"3","Visa","Experienced","Nursing"
1.95,"Blank",1521,1,1,4126,1,"3","Visa","Student","Nursing"
1.95,"Blank",2222,1,1,2109,4,"3","American Express","Student","Healthcare"
37.9,"M",2063,1,4,2077,18,"3","Mastercard","Experienced","Transportation and Distribution"
41.75,"Blank",1055,1,4,2098,5,"3","Visa","Experienced","Travel and Hospitality"
3.95,"Blank",2810,1,11,1024,2,"3","Visa","Manager","Transportation and Distribution"
1.95,"Blank",2193,1,1,3392,2,"3","Mastercard","Experienced","Sales"
1.95,"Blank",3848,1,2,14320,5,"3","American Express","Entry Level","Education and Training"
1.95,"Blank",2122,1,2,1973,2,"3","Visa","Experienced","Banking and Financial Services"
37.9,"Blank",2204,5,4,1533,9,"3","Visa","Experienced","Installation and Maintenance"
1.95,"Blank",1561,1,3,7420,3,"3","Visa","Experienced","Administrative Support"
671.95,"F",1608,3,10,1249,3,"13","Mastercard","Manager","Real Estate"
4.9,"Blank",2732,2,6,936,5,"3","Visa","Experienced","Customer Service"
177.7,"Blank",2154,2,3,1884,1,"3","Visa","Experienced","Business"
38.75,"Blank",2247,2,1,3549,1,"16","Mastercard","Experienced","Nursing"
5.9,"Blank",1719,1,4,1267,5,"3","Visa","Entry Level","Legal"
73.98,"Blank",1349,1,7,2386,1,"3","Visa","Entry Level","Customer Service"
38.9,"Blank",1593,1,4,1921,5,"13","Visa","Experienced","Administrative Support"
142.75,"Blank",2309,1,7,1129,7,"3","Mastercard","Manager","Healthcare"
1.95,"F",1370,4,5,1758,1,"3","Visa","Experienced","Real Estate"
73.85,"Blank",2196,7,8,7225,3,"7","Visa","Experienced","Administrative Support"
459.3,"Blank",2438,4,2,4134,2,"3","Mastercard","Experienced","Nursing"
3.95,"Blank",2856,6,15,1515,2,"16","Visa","Manager","Accounting and Finance"
2.95,"Blank",2170,1,5,1914,2,"9","Visa","Experienced","Customer Service"
110.75,"F",1518,1,15,931,9,"3","Mastercard","Experienced","Healthcare"
85.45,"Blank",1810,1,2,3373,4,"3","Mastercard","Experienced","Nursing"
1.95,"Blank",2108,1,3,2255,1,"3","Visa","Experienced","Sales"
1.95,"Blank",1598,1,1,2145,2,"3","Visa","Experienced","Administrative Support"
41.75,"Blank",968,1,2,2063,3,"3","Mastercard","Entry Level","Sports"
41.15,"Blank",1729,1,3,2042,4,"3","Visa","Experienced","Engineering"
5.9,"Blank",2182,1,5,2606,2,"3","Visa","Student","Healthcare"
2.95,"Blank",3058,3,5,1030,4,"12","American Express","Manager","Human Resources"
142.75,"Blank",2109,10,11,1140,4,"11","Mastercard","Manager","Retail"
4.9,"Blank",2030,2,3,3923,4,"11","Visa","Experienced","Administrative Support"
37.9,"Blank",2158,1,4,2106,11,"3","Visa","Experienced","Customer Service"
247.6,"Blank",1766,1,1,3955,30,"3","Mastercard","Experienced","Skilled Trades"
1.95,"Blank",1574,3,3,1087,3,"19","Visa","Experienced","Community and Public Service"
2.95,"Blank",1659,2,2,3490,7,"16","Mastercard","Experienced","Healthcare"
107.8,"M",1565,1,3,2445,4,"3","Visa","Experienced","Computers and Technology"
1.95,"Blank",2193,1,1,5203,2,"3","Visa","Manager","Transportation and Distribution"
38.9,"F",2677,5,6,673,2,"3","Visa","Experienced","Customer Service"
37.9,"F",7853,9,29,4307,40,"3","Visa","Experienced","Nursing"
3.95,"Blank",1508,2,6,1561,12,"6","Mastercard","Experienced","Sales"
104.85,"M",1364,5,16,1161,18,"3","Visa","Experienced","Sales"
11.74,"Blank",2015,2,2,2467,2,"16","Mastercard","Experienced","Government"
1.95,"Blank",2338,1,9,3667,12,"7","Visa","Experienced","Education and Training"
121.35,"M",2130,3,5,3674,4,"3","Mastercard","Manager","Business"
9.06,"Blank",7807,9,7,3257,2,"3","Visa","Student","Engineering"
216.5,"Blank",1665,2,3,8850,2,"3","Mastercard","Executive","Travel and Hospitality"
110.35,"F",2419,3,3,1937,9,"5","Visa","Student","Banking and Financial Services"
1.95,"Blank",1312,1,4,522,10,"3","Visa","Entry Level","Accounting and Finance"
24.9,"Blank",1421,1,1,415,5,"19","Visa","Entry Level","Retail"
7.95,"Blank",2597,22,126,1875,44,"3","Mastercard","Entry Level","Nursing"
71.85,"Blank",1612,3,3,2243,4,"3","Visa","Entry Level","Administrative Support"
1.95,"Blank",1628,1,5,657,4,"3","Visa","Experienced","Healthcare"
6.85,"Blank",2361,4,6,2612,5,"3","Visa","Entry Level","Community and Public Service"
179.7,"Blank",2232,17,25,1741,25,"3","Visa","Experienced","Customer Service"
5.9,"Blank",1454,1,2,2022,1,"3","American Express","Entry Level","Science"
95.4,"Blank",1361,1,2,3670,3,"3","Visa","Experienced","Healthcare"
174.75,"Blank",1340,1,2,2319,7,"3","Visa","Experienced","Management"
1.95,"Blank",2198,2,7,3431,2,"3","Mastercard","Experienced","Healthcare"
2.95,"Blank",2618,1,4,1251,3,"3","Visa","Experienced","Business"
2.95,"Blank",2187,1,1,5263,1,"3","Visa","Manager","Healthcare"
111.75,"Blank",1971,2,22,3127,21,"3","Visa","Experienced","Customer Service"
2.95,"Blank",2847,2,5,1864,5,"20","Visa","Entry Level","Installation and Maintenance"
161.15,"Blank",1633,2,1,2041,1,"3","Visa","Experienced","Administrative Support"
1.95,"Blank",1464,2,2,2888,2,"3","Mastercard","Entry Level","Social Sciences"
1,"M",2531,3,5,1221,5,"3","Visa","Student","Social Sciences"
1.95,"Blank",2174,1,14,1599,4,"5","Visa","Experienced","Skilled Trades"
5.9,"Blank",1394,2,5,1874,8,"3","Visa","Experienced","Nursing"
169.25,"Blank",3076,7,8,2841,11,"7","Visa","Experienced","Skilled Trades"
315.75,"F",1810,5,17,3891,9,"3","Visa","Experienced","Nursing"
2.95,"Blank",1599,1,8,2044,1,"16","Visa","Experienced","Customer Service"
2.95,"Blank",1609,1,3,4222,1,"20","Mastercard","Student","Business"
2.95,"Blank",1381,1,3,655,20,"14","Visa","Experienced","Skilled Trades"
2.95,"Blank",2185,2,3,1144,3,"3","Visa","Experienced","Healthcare"
146.55,"F",2426,3,5,1679,16,"5","Mastercard","Manager","Real Estate"
38.9,"Blank",2195,1,5,854,3,"3","Visa","Experienced","Construction"
1.95,"Blank",2151,1,2,903,2,"3","Mastercard","Experienced","Insurance"
1.95,"Blank",2737,2,2,2258,6,"3","Mastercard","Experienced","Telecommunications and Wireless"
174.75,"Blank",2034,3,12,1946,112,"3","Visa","Experienced","Skilled Trades"
42.75,"Blank",2418,2,1,5393,5,"16","Visa","Experienced","Administrative Support"
4.95,"Blank",2174,1,4,3223,1,"3","Visa","Experienced","Construction"
19.9,"Blank",1312,1,3,5336,13,"3","Visa","Experienced","Business"
423.35,"Blank",2635,4,4,2685,3,"11","Visa","Experienced","Art, Fashion and Design"
1.95,"Blank",2200,1,1,3320,5,"3","Mastercard","Experienced","Customer Service"
37.9,"M",2603,2,2,7491,3,"6","Visa","Entry Level","Pharmacy"
1.95,"Blank",2185,1,2,1597,1,"3","Visa","Experienced","Retail"
3.95,"Blank",1262,1,4,1372,4,"3","Visa","Experienced","Administrative Support"
249.6,"Blank",2961,5,3,4277,2,"3","Visa","Manager","Administrative Support"
113.7,"Blank",1821,5,7,3181,19,"3","American Express","Manager","Retail"
177.7,"Blank",2168,7,7,1625,15,"3","Visa","Experienced","Sales"
81.55,"Blank",2043,1,1,3175,7,"3","Visa","Executive","Construction"
16.75,"Blank",2601,1,5,689,2,"8","American Express","Experienced","Installation and Maintenance"
81.55,"Blank",1118,1,6,2230,8,"3","American Express","Experienced","Computers and Technology"
41.75,"Blank",1618,1,1,2049,5,"3","Visa","Entry Level","Construction"
41.75,"Blank",1304,6,3,1430,2,"15","Mastercard","Experienced","Food and Beverage"
11.9,"Blank",1660,1,1,5087,1,"3","Visa","Manager","Human Resources"
37.9,"Blank",3378,4,7,554,1,"3","Visa","Experienced","Social Sciences"
41.7,"Blank",1964,2,5,3075,3,"3","Visa","Entry Level","Customer Service"
1.95,"F",2157,1,7,13435,5,"3","American Express","Manager","Computers and Technology"
44.7,"Blank",2531,2,7,2474,1,"3","Mastercard","Student","Healthcare"
5.9,"F",1643,1,11,2178,5,"3","Visa","Student","Healthcare"
3.9,"Blank",1441,1,3,1292,7,"3","Mastercard","Experienced","Customer Service"
104.85,"Blank",1523,2,2,2527,2,"3","Visa","Manager","Real Estate"
5.9,"Blank",2854,1,2,2444,2,"3","Visa","Experienced","Installation and Maintenance"
3.95,"Blank",2411,3,3,3154,1,"3","Mastercard","Entry Level","Healthcare"
81.55,"Blank",1441,1,1,1517,4,"3","Mastercard","Entry Level","Fitness and Recreation"
161.15,"Blank",2947,1,2,1811,3,"3","Mastercard","Manager","Food and Beverage"
282.55,"Blank",2140,4,11,839,7,"3","Visa","Entry Level","Law Enforcement and Security"
146.55,"F",2426,3,5,1679,16,"5","Visa","Manager","Real Estate"
109.8,"Blank",1465,3,8,1546,17,"5","Visa","Experienced","Insurance"
69.9,"Blank",2654,3,5,2691,17,"4","Mastercard","Experienced","Real Estate"
41.75,"Blank",1221,1,5,1513,1,"3","Visa","Experienced","Law Enforcement and Security"
1.95,"Blank",1610,1,1,2027,1,"3","Discover","Entry Level","Nursing"
387.4,"Blank",1567,1,7,3804,18,"3","American Express","Experienced","Management"
81.55,"Blank",1964,3,2,1630,36,"3","Visa","Student","Psychology"
22.85,"Blank",2112,2,3,2296,11,"3","Visa","Experienced","Management"
1.95,"Blank",2197,2,4,1395,6,"3","Visa","Experienced","Transportation and Distribution"
1.95,"Blank",2187,1,1,3376,2,"3","Visa","Entry Level","Healthcare"
38.9,"Blank",2198,6,3,2274,12,"3","Visa","Experienced","Transportation and Distribution"
5.9,"Blank",1187,1,4,1778,1,"3","Visa","Experienced","Legal"
1.95,"Blank",1482,1,1,3984,1,"3","Visa","Experienced","Nursing"
14.95,"Blank",1544,2,14,4732,4,"3","Discover","Experienced","Computers and Technology"
1.95,"Blank",2304,1,1,3211,2,"3","Visa","Experienced","Nursing"
95.4,"Blank",2183,25,416,1795,193,"3","Visa","Entry Level","Retail"
72.85,"M",1981,10,5,1766,6,"3","Mastercard","Experienced","Computers and Technology"
2.95,"Blank",641,1,2,2082,2,"16","Mastercard","Experienced","Installation and Maintenance"
6.9,"Blank",1176,1,7,1359,5,"13","Visa","Experienced","Construction"
143.75,"Blank",2184,2,5,1248,5,"5","Visa","Entry Level","Food and Beverage"
1.95,"Blank",382,1,2,2013,1,"3","Visa","Manager","Retail"
161.95,"Blank",2151,4,5,3511,8,"3","Mastercard","Experienced","Pharmacy"
73.8,"Blank",2000,4,3,4918,4,"3","Mastercard","Student","Psychology"
110.35,"Blank",2965,4,7,3527,6,"7","Mastercard","Entry Level","Retail"
1.95,"Blank",2106,1,1,3250,11,"3","Visa","Experienced","Education and Training"
279.6,"Blank",2192,6,7,2541,4,"14","Mastercard","Experienced","Community and Public Service"
1.95,"Blank",2247,1,1,2962,6,"3","Visa","Manager","Retail"
36.9,"Blank",989,1,6,983,3,"3","Mastercard","Experienced","Manufacturing and Production"
1.95,"Blank",2117,6,4,1182,3,"3","Visa","Experienced","Administrative Support"
562.15,"Blank",1405,1,3,3004,2,"3","Visa","Student","Healthcare"
95.4,"Blank",2312,9,7,1599,35,"6","Mastercard","Experienced","Banking and Financial Services"
3.95,"Blank",1445,1,3,3115,2,"3","Visa","Experienced","Entertainment and Media"
3.75,"Blank",2083,3,5,3565,7,"3","Mastercard","Experienced","Real Estate"
1.95,"Blank",3039,5,6,1448,13,"3","Visa","Experienced","Education and Training"
1.95,"Blank",1453,1,2,1347,3,"3","Visa","Student","Business"
5.9,"Blank",1570,2,2,1558,4,"3","Visa","Student","Architecture"
1.95,"Blank",2178,3,3,901,6,"3","Visa","Experienced","Retail"
41.75,"Blank",1645,1,1,2175,2,"3","Visa","Experienced","Administrative Support"
41.75,"Blank",1322,1,1,6440,1,"3","Visa","Entry Level","Manufacturing and Production"
1,"Blank",2129,1,1,6049,1,"20","Visa","Experienced","Banking and Financial Services"
38.75,"Blank",2504,1,20,767,10,"7","Visa","Experienced","Healthcare"
142.75,"Blank",2182,3,31,1211,23,"3","Visa","Manager","Retail"
2.95,"F",2433,2,13,2640,7,"3","Visa","Experienced","Customer Service"
95.4,"M",1799,4,11,1227,19,"3","Visa","Experienced","Human Resources"
82.55,"Blank",2098,1,2,2051,2,"9","Visa","Experienced","Administrative Support"
4.9,"Blank",2370,7,2,4052,4,"6","Visa","Experienced","Marketing, Advertising and PR"
1.95,"Blank",0,1,3,0,1,"3","Visa","Experienced","Legal"
1.95,"Blank",2188,1,2,1733,4,"3","Visa","Manager","Fitness and Recreation"
735.9,"Blank",1629,1,3,1174,6,"3","Visa","Experienced","Healthcare"
1.95,"Blank",1539,1,1,2696,1,"3","Mastercard","Entry Level","Personal Services"
457.3,"M",2182,3,2,8892,7,"3","Mastercard","Manager","Food and Beverage"
2.95,"Blank",1263,1,5,1824,1,"3","Mastercard","Experienced","Installation and Maintenance"
38.75,"Blank",2870,4,55,1429,3,"3","Mastercard","Experienced","Manufacturing and Production"
37.9,"Blank",1052,3,4,866,9,"3","Visa","Experienced","Customer Service"
5.9,"Blank",1446,2,4,1266,7,"3","Visa","Entry Level","Legal"
4.9,"Blank",2216,1,2,1881,1,"16","Mastercard","Entry Level","Food and Beverage"
1.95,"Blank",2184,1,2,2545,2,"3","Mastercard","Experienced","Construction"
1,"Blank",2858,13,4,1253,4,"3","Visa","Student","Retail"
1.95,"Blank",0,1,6,2307,2,"3","Visa","Experienced","Management"
178.7,"Blank",2835,13,20,4978,3,"8","Visa","Experienced","Sales"
1.95,"Blank",2368,1,1,3964,4,"3","Visa","Experienced","Customer Service"
4.9,"Blank",2843,3,7,1009,11,"4","Visa","Entry Level","Legal"
248.6,"F",1854,2,8,1769,1,"3","Visa","Experienced","Administrative Support"
178.7,"Blank",2556,2,7,2948,20,"16","Visa","Entry Level","Customer Service"
1.95,"Blank",1204,1,2,1363,1,"3","Visa","Student","Legal"
2.95,"Blank",2854,2,2,2464,6,"9","Visa","Experienced","Skilled Trades"
75.8,"F",4057,11,10,5252,28,"3","Visa","Manager","Nursing"
40.85,"Blank",2027,4,8,3765,2,"3","Mastercard","Experienced","Human Resources"
2.95,"Blank",2160,1,2,1402,1,"3","Visa","Experienced","Retail"
1.95,"Blank",0,1,7,1283,1,"3","Visa","Manager","Food and Beverage"
5.9,"M",1703,3,4,899,7,"3","Visa","Experienced","Retail"
2.95,"Blank",1576,2,4,2173,1,"3","Mastercard","Experienced","Healthcare"
4.9,"Blank",2162,2,5,2647,5,"9","Discover","Experienced","Natural Resources and Agriculture"
1.95,"Blank",2222,1,1,2835,2,"3","Mastercard","Experienced","Engineering"
2.95,"Blank",2197,3,4,1730,4,"3","Mastercard","Student","Healthcare"
38.75,"Blank",2666,4,4,2884,6,"11","Mastercard","Experienced","Food and Beverage"
1.95,"Blank",1615,2,1,1394,3,"3","Visa","Entry Level","Education and Training"
2.95,"Blank",0,2,4,1338,3,"8","Visa","Experienced","Administrative Support"
110.35,"Blank",1801,1,12,350,1,"3","Mastercard","Experienced","Customer Service"
1.95,"Blank",4606,2,8,1643,5,"3","Visa","Experienced","Education and Training"
107.8,"Blank",2205,16,6,1479,30,"3","Mastercard","Experienced","Nursing"
1.95,"Blank",2849,2,9,515,33,"3","Mastercard","Experienced","Computers and Technology"
73.85,"Blank",2190,2,3,1623,2,"16","Visa","Experienced","Education and Training"
115.6,"Blank",1635,2,2,5330,12,"5","Visa","Manager","Construction"
41.75,"Blank",1651,1,2,1744,2,"3","Visa","Experienced","Construction"
41.75,"F",2185,1,4,579,15,"3","Visa","Experienced","Nursing"
1.95,"Blank",2223,2,2,628,1,"3","Visa","Student","Transportation and Distribution"
104.85,"Blank",1378,1,3,912,2,"3","Mastercard","Experienced","Education and Training"
41.75,"Blank",2183,2,6,265,1,"13","Visa","Student","Computers and Technology"
280.55,"Blank",1694,1,7,116,2,"3","Visa","Executive","Accounting and Finance"
419.4,"Blank",1646,3,18,1825,10,"4","Visa","Student","Sales"
146.15,"Blank",2543,1,4,5351,18,"10","Mastercard","Experienced","Government"
200.95,"Blank",2179,1,3,1889,4,"3","Visa","Entry Level","Management"
41.75,"Blank",3135,2,1,1529,2,"3","Mastercard","Entry Level","Sales"
81.55,"Blank",1579,8,5,1182,7,"3","Visa","Experienced","Administrative Support"
1.95,"Blank",2192,2,5,1356,7,"7","Mastercard","Experienced","Education and Training"
1.95,"Blank",2177,2,1,3399,3,"3","American Express","Experienced","Administrative Support"
41.75,"Blank",2165,1,3,6988,2,"8","Visa","Experienced","Marketing, Advertising and PR"
1,"Blank",1558,1,2,2118,2,"3","Visa","Experienced","Retail"
285.8,"Blank",1468,1,5,6354,3,"11","American Express","Entry Level","Transportation and Distribution"
1.95,"Blank",2179,2,2,1233,1,"3","Visa","Executive","Management"
24.9,"Blank",3334,2,2,2454,4,"19","Visa","Experienced","Community and Public Service"
5.9,"Blank",2356,7,8,708,8,"4","Mastercard","Experienced","Food and Beverage"
1.95,"Blank",1022,1,1,2789,5,"3","Visa","Manager","Management"
1.95,"Blank",2198,1,4,3476,1,"3","Visa","Experienced","Sales"
121.35,"Blank",2189,1,4,4958,8,"3","(null)","Entry Level","Human Resources"
2.95,"Blank",2352,1,1,2201,1,"16","Mastercard","Experienced","Customer Service"
1.95,"Blank",1610,1,9,1636,4,"3","Visa","Experienced","Retail"
529.2,"Blank",3129,4,35,199,62,"4","Mastercard","Executive","Sales"
38.85,"Blank",3389,4,2,2571,3,"3","Visa","Experienced","Community and Public Service"
38.9,"Blank",2121,2,3,1219,6,"3","Mastercard","Experienced","Food and Beverage"
40.7,"Blank",2396,2,5,745,1,"3","Mastercard","Student","Computers and Technology"
41.75,"Blank",2185,1,3,1505,2,"3","Visa","Executive","Customer Service"
2.95,"Blank",2140,2,2,903,3,"3","Visa","Experienced","Dental"
242.7,"Blank",2321,4,8,2245,1,"3","Visa","Entry Level","Military"
2.95,"Blank",4982,1,3,3037,5,"19","Visa","Entry Level","Nursing"
2.95,"Blank",2843,1,5,2190,1,"3","Mastercard","Experienced","Transportation and Distribution"
16.16,"M",1933,1,1,1829,10,"3","Visa","Experienced","Education and Training"
1.95,"Blank",1410,2,2,2066,1,"3","Visa","Student","Administrative Support"
37.9,"Blank",2196,1,4,1943,1,"3","Visa","Experienced","Customer Service"
47.85,"Blank",1485,2,8,1079,2,"19","Visa","Experienced","Manufacturing and Production"
2.95,"Blank",3101,2,1,2004,2,"9","Discover","Experienced","Healthcare"
1.95,"Blank",1424,1,3,869,2,"3","Visa","Experienced","Manufacturing and Production"
286.2,"M",2041,1,15,1484,8,"3","Visa","Experienced","Manufacturing and Production"
2.95,"Blank",1616,1,8,1217,4,"3","Mastercard","Experienced","Law Enforcement and Security"
8.9,"Blank",2414,1,2,1503,2,"16","Visa","Manager","Food and Beverage"
51.7,"Blank",2192,2,5,1694,11,"3","Visa","Entry Level","Healthcare"
37.9,"Blank",754,1,2,2149,13,"3","Mastercard","Experienced","Nursing"
95.4,"M",1452,1,5,4342,2,"3","Mastercard","Executive","Business"
75.8,"Blank",1606,1,3,2693,2,"3","Visa","Experienced","Healthcare"
315.75,"Blank",1810,5,17,3891,9,"3","Visa","Manager","Nursing"
1.95,"Blank",1547,1,3,1642,1,"3","American Express","Experienced","Construction"
2.95,"Blank",1517,1,9,2278,1,"3","Visa","Experienced","Transportation and Distribution"
2.95,"Blank",1535,1,7,375,3,"3","Mastercard","Experienced","Healthcare"
34.95,"Blank",1765,1,3,1086,8,"3","Visa","Experienced","Education and Training"
42.75,"Blank",2326,5,2,10930,9,"16","Visa","Entry Level","Funeral Services"
71.85,"M",1919,5,6,2078,4,"3","Mastercard","Experienced","Banking and Financial Services"
1.95,"M",2137,1,9,1183,4,"3","Visa","Experienced","Banking and Financial Services"
42.75,"Blank",2338,4,11,635,1,"16","Visa","Executive","Healthcare"
3.95,"Blank",1317,1,2,1477,2,"3","Mastercard","Entry Level","Travel and Hospitality"
3.95,"Blank",2415,2,12,1214,28,"4","Visa","Experienced","Healthcare"
2.95,"Blank",1628,6,3,2718,4,"3","Visa","Experienced","Marketing, Advertising and PR"
141.75,"Blank",2066,1,4,1939,5,"3","Mastercard","Executive","Telecommunications and Wireless"
2.95,"Blank",2425,1,5,1123,6,"16","Visa","Entry Level","Retail"
1.95,"Blank",2048,1,1,2341,1,"3","Mastercard","Student","Customer Service"
107.8,"Blank",2196,6,2,976,4,"3","Visa","Experienced","Installation and Maintenance"
1.95,"Blank",2208,2,5,1075,1,"3","Visa","Experienced","Skilled Trades"
1,"Blank",1445,3,3,401,1,"3","Visa","Student","Business"
1.95,"Blank",2482,6,3,0,3,"3","Mastercard","Experienced","Education and Training"
40.75,"Blank",2142,3,9,1252,1,"3","Visa","Entry Level","Engineering"
1.95,"Blank",2184,3,2,3748,21,"3","Visa","Manager","Transportation and Distribution"
575.75,"Blank",1398,1,3,970,6,"3","Visa","Manager","Healthcare"
2.95,"F",628,1,3,4694,18,"3","Mastercard","Experienced","Psychology"
1.95,"Blank",1628,1,13,639,11,"3","Mastercard","Manager","Retail"
247.6,"Blank",2567,6,20,6087,27,"3","Mastercard","Experienced","Marketing, Advertising and PR"
2.95,"Blank",2435,3,2,1463,2,"3","Mastercard","Experienced","Retail"
38.75,"F",2415,3,7,4741,2,"3","Mastercard","Manager","Telecommunications and Wireless"
38.9,"Blank",1696,3,2,2122,5,"3","Visa","Manager","Management"
40.7,"M",2185,2,4,1846,4,"6","Visa","Experienced","Food and Beverage"
2.95,"F",2180,6,5,1638,5,"3","Visa","Experienced","Insurance"
41.75,"Blank",2189,2,3,589,1,"3","Visa","Entry Level","Manufacturing and Production"
1.95,"F",1426,1,2,1815,7,"3","Visa","Experienced","Administrative Support"
35.9,"Blank",1617,3,2,2929,2,"3","Visa","Experienced","Customer Service"
38.9,"Blank",2232,1,8,3498,4,"3","Mastercard","Experienced","Education and Training"
249.6,"Blank",2240,2,12,1074,41,"3","Mastercard","Experienced","Healthcare"
2.95,"Blank",2630,1,1,2137,1,"3","Visa","Student","Engineering"
39.55,"Blank",1928,1,4,1772,2,"3","Visa","Experienced","Customer Service"
3.95,"Blank",2398,1,4,2121,1,"3","Visa","Experienced","Customer Service"
1.95,"Blank",1350,4,1,1954,1,"3","Visa","Entry Level","Nursing"
1.95,"Blank",2451,1,3,2412,10,"4","Visa","Entry Level","Accounting and Finance"
354.45,"Blank",1348,2,5,2556,8,"3","Visa","Experienced","Skilled Trades"
2.95,"Blank",2403,1,4,2304,5,"9","Mastercard","Student","Sports"
41.75,"Blank",2181,1,2,452,1,"3","Mastercard","Experienced","Management"
1.95,"F",2191,3,1,1247,8,"3","Visa","Experienced","Customer Service"
4.95,"Blank",1627,3,2,3306,1,"3","Visa","Experienced","Personal Services"
1.95,"Blank",988,1,7,2236,5,"3","Visa","Student","Administrative Support"
75.8,"F",1356,1,2,3074,7,"3","Visa","Experienced","Business"
81.55,"Blank",1343,1,1,1439,3,"3","Visa","Student","Nursing"
2.95,"Blank",2184,1,5,3490,3,"3","Visa","Experienced","Human Resources"
174.75,"Blank",1286,2,3,4679,2,"3","Visa","Executive","Retail"
2.95,"Blank",3107,1,2,2095,1,"16","Mastercard","Experienced","Skilled Trades"
36.9,"Blank",2194,5,4,4080,3,"3","Visa","Experienced","Law Enforcement and Security"
76.5,"Blank",1644,1,4,2554,10,"3","Visa","Experienced","Customer Service"
81.55,"Blank",2199,1,6,678,6,"3","Visa","Experienced","Construction"
71.85,"Blank",1868,3,3,1137,5,"3","American Express","Experienced","Customer Service"
36.9,"F",2213,2,2,2271,7,"3","Visa","Experienced","Art, Fashion and Design"
1.95,"Blank",2195,1,3,4173,1,"3","Visa","Experienced","Banking and Financial Services"
72.85,"Blank",1429,1,7,979,10,"5","American Express","Entry Level","Entertainment and Media"
4.9,"Blank",2851,1,3,2540,1,"3","Visa","Experienced","Accounting and Finance"
1.95,"F",1577,1,5,1655,32,"3","Visa","Experienced","Nursing"
40.7,"Blank",2584,1,4,1766,8,"7","Visa","Manager","Construction"
5.9,"Blank",2411,1,6,2688,1,"3","Visa","Experienced","Customer Service"
73.85,"Blank",2489,2,2,5846,8,"4","Visa","Manager","Marketing, Advertising and PR"
95.4,"F",2315,6,15,3062,27,"3","Mastercard","Experienced","Science"
163.1,"F",1482,2,2,1933,3,"3","Visa","Experienced","Nursing"
14.95,"M",2192,4,15,2641,14,"3","Visa","Entry Level","Business"
104.85,"Blank",2824,5,1,4595,1,"3","Visa","Experienced","Customer Service"
75.8,"M",2174,2,5,840,1,"3","Mastercard","Experienced","Skilled Trades"
2.95,"Blank",2329,2,12,2254,5,"13","Mastercard","Experienced","Customer Service"
74.55,"Blank",1982,9,2,1242,12,"3","Visa","Experienced","Retail"
5.9,"Blank",1844,1,3,2772,8,"3","Visa","Experienced","Healthcare"
3.95,"Blank",2240,3,2,6010,4,"16","American Express","Experienced","Transportation and Distribution"
4.9,"Blank",1598,1,4,3915,11,"3","Visa","Experienced","Manufacturing and Production"
41.75,"Blank",2136,1,1,7610,8,"3","Mastercard","Experienced","Sales"
145.3,"Blank",7205,25,27,2269,52,"15","Mastercard","Entry Level","Customer Service"
6.9,"F",1621,1,15,3047,9,"3","Visa","Experienced","Administrative Support"
10.05,"Blank",3836,1,1,2839,1,"16","Visa","Experienced","Nursing"
142.75,"Blank",2068,3,2,2728,4,"3","Visa","Experienced","Customer Service"
1,"Blank",2117,1,1,1294,1,"3","Visa","Student","Entertainment and Media"
156.3,"Blank",2089,1,2,3403,4,"3","Visa","Entry Level","Administrative Support"
248.6,"Blank",2845,12,4,3219,5,"16","American Express","Manager","Education and Training"
2.95,"Blank",2332,1,4,2902,1,"3","Visa","Entry Level","Nursing"
81.55,"F",2325,1,2,9717,2,"3","Mastercard","Executive","Childcare"
